Num_Orden;Fecha;Hora_Cobro;Mesa;Propina;Mesero_Fk;Cliente:Fk
46;2014-04-07;23:31;5;0.17;9;1
47;2014-04-29;23:45;2;0.16;6;1
48;2014-03-26;17:31;10;0.06;4;1
49;2014-12-07;14:38;10;0.16;8;1
50;2014-10-10;23:31;4;0.2;5;1
51;2014-07-02;18:14;13;0.05;6;1
52;2014-07-26;18:00;3;0.14;4;1
53;2014-10-05;17:31;10;0.11;2;1
54;2014-06-22;15:07;16;0.07;8;2
55;2014-06-14;22:04;14;0.09;7;2
56;2014-08-11;15:21;7;0.05;6;1
57;2014-10-18;22:04;7;0.2;5;1
58;2014-07-28;15:07;8;0.06;6;1
59;2014-08-07;15:21;4;0.11;9;1
60;2014-10-23;17:45;17;0.12;6;1
61;2014-05-29;21:50;5;0.06;4;1
62;2014-02-10;19:26;12;0.12;1;2
63;2014-06-14;20:09;3;0.17;4;1
64;2014-09-09;13:26;6;0.06;9;2
65;2014-02-07;18:57;4;0.14;1;2
66;2014-10-11;21:07;5;0.2;5;1
67;2014-04-01;19:55;4;0.14;8;2
68;2014-12-13;18:28;15;0.2;5;1
69;2014-02-10;18:43;13;0.13;1;2
70;2014-03-05;18:28;1;0.1;7;2
71;2014-03-14;19:26;13;0.12;9;2
72;2014-10-06;23:02;2;0.14;2;1
73;2014-06-04;20:09;13;0.05;3;1
74;2014-09-28;13:12;13;0.05;8;2
75;2014-02-24;23:16;17;0.09;9;1
76;2014-11-04;19:55;6;0.13;4;2
77;2014-11-24;21:50;9;0.05;4;2
78;2014-11-17;15:36;14;0.07;7;1
79;2014-03-09;20:52;15;0.15;4;2
80;2014-11-10;15:21;6;0.14;3;1
81;2014-09-07;19:26;13;0.06;4;1
82;2014-08-28;0:00;10;0.14;2;1
83;2014-10-22;16:04;1;0.05;6;1
84;2015-01-17;20:38;5;0.2;5;1
85;2014-10-24;19:26;15;0.2;5;1
86;2014-08-21;23:45;4;0.15;1;1
87;2014-09-23;22:04;8;0.06;6;1
88;2014-11-24;13:40;9;0.15;1;1
89;2014-06-14;18:00;9;0.17;1;1
90;2014-03-30;21:50;1;0.09;4;2
91;2015-01-12;19:12;1;0.12;2;1
92;2014-07-20;14:24;10;0.08;8;2
93;2015-01-18;22:19;14;0.17;1;1
94;2014-05-10;21:21;14;0.11;7;1
95;2014-05-16;20:52;3;0.05;2;1
96;2014-04-26;22:48;5;0.16;4;2
97;2014-10-20;18:43;7;0.15;8;2
98;2014-03-22;21:50;5;0.14;1;1
99;2014-06-06;22:19;6;0.11;7;1
100;2014-10-01;23:16;9;0.11;2;1
101;2014-08-28;18:43;9;0.11;3;1
102;2014-05-23;21:21;14;0.09;2;1
103;2014-03-24;17:31;8;0.14;8;1
104;2014-07-28;21:50;8;0.15;1;1
105;2014-06-24;15:36;4;0.07;3;2
106;2014-02-10;14:09;14;0.07;2;1
107;2014-11-28;18:57;16;0.2;5;1
108;2014-07-04;21:07;4;0.15;8;1
109;2014-09-12;19:12;3;0.2;5;1
110;2014-03-25;18:43;9;0.12;1;2
111;2014-08-23;19:26;16;0.06;2;1
112;2015-01-14;13:12;16;0.14;2;1
113;2014-11-26;21:07;12;0.11;2;1
114;2014-06-21;22:48;17;0.12;6;1
115;2014-02-10;17:31;3;0.05;4;1
116;2014-12-08;17:16;11;0.1;9;1
117;2014-12-17;15:50;17;0.17;6;1
118;2014-08-05;13:12;15;0.08;7;1
119;2014-11-20;19:12;13;0.06;1;2
120;2014-02-14;20:38;9;0.13;4;1
121;2014-12-08;18:28;8;0.11;8;1
122;2014-12-04;20:38;4;0.14;7;1
123;2014-09-14;23:16;7;0.1;4;1
124;2014-05-03;22:33;17;0.08;9;1
125;2014-02-09;15:07;12;0.05;6;2
126;2014-09-24;19:26;12;0.16;8;1
127;2014-06-07;18:28;4;0.07;9;1
128;2014-02-14;22:04;10;0.06;4;2
129;2014-09-26;23:16;11;0.2;5;1
130;2014-11-03;19:55;4;0.14;9;1
131;2014-02-18;20:38;16;0.08;1;1
132;2014-07-16;22:04;15;0.07;3;2
133;2014-03-26;18:28;2;0.16;1;1
134;2014-08-01;23:31;15;0.12;7;1
135;2014-05-11;23:45;1;0.11;3;2
136;2014-03-05;23:02;4;0.11;6;1
137;2014-07-21;17:02;9;0.06;1;1
138;2014-06-08;21:07;16;0.14;1;1
139;2014-08-03;17:45;1;0.11;3;2
140;2014-09-05;23:16;17;0.2;5;1
141;2014-07-21;0:00;9;0.13;1;1
142;2014-10-12;15:50;6;0.16;4;2
143;2014-04-25;20:38;6;0.09;7;1
144;2014-08-29;19:40;2;0.16;2;1
145;2014-04-16;23:31;7;0.09;4;1
146;2014-05-15;15:07;8;0.05;3;1
147;2014-11-28;23:45;11;0.2;5;1
148;2014-08-15;23:16;15;0.14;3;2
149;2014-11-10;16:04;16;0.15;7;1
150;2014-07-15;16:33;13;0.05;2;2
151;2014-09-10;17:45;14;0.12;9;2
152;2014-03-15;19:40;1;0.15;4;1
153;2015-01-03;20:09;3;0.2;5;1
154;2014-11-12;16:04;17;0.1;1;1
155;2014-02-09;13:12;8;0.14;8;1
156;2014-08-25;23:02;14;0.12;7;1
157;2014-12-05;19:12;17;0.2;5;1
158;2015-01-10;18:28;13;0.2;5;1
159;2014-05-11;13:12;5;0.08;8;1
160;2014-02-27;17:16;14;0.12;3;1
161;2014-09-26;21:36;7;0.2;5;1
162;2014-04-08;19:55;17;0.05;7;1
163;2014-02-27;0:00;5;0.07;4;1
164;2014-08-24;21:07;14;0.17;6;1
165;2014-03-20;17:02;14;0.14;7;2
166;2014-03-08;18:57;9;0.08;2;1
167;2014-08-17;13:55;11;0.17;6;1
168;2014-09-12;22:48;4;0.2;5;1
169;2014-07-28;12:57;17;0.07;2;1
170;2014-09-23;14:38;16;0.14;3;1
171;2014-09-03;14:52;1;0.17;6;1
172;2014-09-04;15:07;9;0.09;7;1
173;2014-12-15;0:00;4;0.14;3;1
174;2014-08-10;17:02;17;0.14;8;1
175;2014-02-16;22:48;14;0.09;7;1
176;2014-10-25;22:33;4;0.2;5;1
177;2014-12-21;20:38;2;0.14;4;1
178;2014-07-07;16:33;17;0.1;1;1
179;2014-04-14;22:04;2;0.07;6;2
180;2015-01-13;18:14;15;0.1;3;1
181;2014-04-23;22:04;4;0.09;9;1
182;2014-08-10;20:24;1;0.05;7;1
183;2014-09-08;19:12;4;0.11;9;2
184;2014-03-20;19:26;5;0.08;6;1
185;2014-05-24;21:21;14;0.17;6;2
186;2014-10-29;21:07;9;0.08;4;1
187;2014-05-12;20:24;10;0.11;2;1
188;2015-01-13;19:12;16;0.08;1;1
189;2014-03-23;22:19;14;0.13;4;2
190;2014-10-30;20:38;2;0.12;9;2
191;2014-11-15;18:14;9;0.2;5;1
192;2014-10-03;22:48;13;0.2;5;1
193;2014-02-19;17:02;8;0.14;6;1
194;2014-03-14;18:43;14;0.17;3;1
195;2015-01-13;14:24;12;0.11;4;1
196;2014-05-11;17:16;5;0.11;3;1
197;2014-08-20;15:21;5;0.17;4;1
198;2014-08-24;20:52;1;0.14;9;1
199;2014-07-05;21:07;16;0.06;9;1
200;2014-02-03;13:12;8;0.12;4;2
201;2014-09-01;18:14;10;0.1;4;1
202;2014-04-18;21:07;17;0.11;8;2
203;2014-06-30;13:12;10;0.05;1;1
204;2014-11-12;15:36;8;0.05;4;1
205;2014-06-28;20:09;14;0.06;4;1
206;2014-11-26;22:33;2;0.11;1;1
207;2014-02-18;16:19;7;0.12;6;1
208;2014-03-24;17:31;15;0.07;1;1
209;2014-09-05;20:38;10;0.2;5;1
210;2014-04-17;14:38;10;0.08;7;1
211;2014-07-11;23:31;16;0.07;6;1
212;2015-01-31;20:09;16;0.2;5;1
213;2014-11-09;22:48;2;0.06;1;1
214;2014-09-28;20:52;2;0.16;9;1
215;2015-01-09;19:12;10;0.2;5;1
216;2014-06-26;21:21;17;0.08;9;2
217;2014-09-10;21:07;2;0.16;8;2
218;2014-02-18;19:55;14;0.05;6;1
219;2014-02-18;19:55;13;0.09;3;1
220;2015-01-27;14:24;11;0.07;9;1
221;2014-12-05;21:07;4;0.2;5;1
222;2014-05-22;16:19;1;0.16;3;2
223;2014-08-04;17:45;3;0.05;3;1
224;2014-08-13;23:16;12;0.11;4;1
225;2014-02-12;18:14;6;0.15;1;1
226;2014-12-16;16:19;2;0.06;7;1
227;2014-03-09;12:57;15;0.1;3;1
228;2014-12-29;22:33;12;0.16;2;1
229;2014-10-01;23:45;3;0.13;2;1
230;2014-10-31;19:55;3;0.2;5;1
231;2014-11-17;19:55;5;0.1;9;2
232;2014-11-25;14:52;10;0.09;8;1
233;2014-02-07;0:00;9;0.11;7;2
234;2014-12-13;23:02;7;0.2;5;1
235;2014-07-26;23:45;12;0.09;1;2
236;2014-06-11;14:52;16;0.12;1;1
237;2014-06-08;14:52;11;0.15;8;2
238;2014-05-17;18:14;11;0.09;8;1
239;2014-05-13;21:07;3;0.14;4;1
240;2014-10-26;19:26;7;0.07;3;2
241;2014-02-22;22:48;8;0.07;2;1
242;2014-06-29;18:14;9;0.09;4;2
243;2014-03-07;23:45;4;0.17;3;1
244;2014-06-30;14:09;13;0.07;1;1
245;2014-07-05;18:28;15;0.14;7;1
246;2014-03-14;20:24;16;0.06;2;2
247;2014-02-12;22:19;15;0.05;2;2
248;2014-05-16;19:55;8;0.06;7;2
249;2014-10-10;19:40;9;0.11;6;1
250;2014-12-20;23:16;1;0.1;7;1
251;2014-08-22;22:04;6;0.17;8;2
252;2014-09-05;23:31;14;0.11;2;1
253;2014-06-08;21:50;9;0.14;2;1
254;2014-07-12;21:50;6;0.06;7;1
255;2014-05-17;18:57;11;0.11;3;1
256;2014-10-17;23:31;12;0.07;3;1
257;2014-06-21;20:52;14;0.13;4;1
258;2014-11-10;19:12;14;0.12;7;1
259;2014-12-24;13:40;8;0.13;2;1
260;2014-04-04;18:57;6;0.1;1;1
261;2014-10-05;21:50;4;0.16;3;1
262;2014-09-29;13:26;1;0.12;4;1
263;2014-03-29;23:02;1;0.15;6;1
264;2014-10-01;20:38;1;0.15;2;2
265;2014-10-12;18:00;4;0.14;7;1
266;2014-07-18;19:26;5;0.12;2;2
267;2014-04-20;19:12;2;0.07;4;2
268;2014-09-23;22:48;13;0.05;6;1
269;2014-06-07;23:45;12;0.11;8;1
270;2014-04-26;22:33;7;0.16;7;1
271;2014-09-24;20:09;8;0.11;9;1
272;2014-04-06;14:09;11;0.09;8;1
273;2014-10-03;18:57;9;0.2;5;1
274;2014-06-28;23:31;2;0.05;2;2
275;2014-03-26;17:16;6;0.13;8;1
276;2015-01-21;12:57;5;0.17;9;1
277;2014-06-20;23:16;3;0.09;2;1
278;2014-04-11;20:24;12;0.17;6;1
279;2015-01-29;20:38;4;0.1;1;2
280;2014-11-09;18:28;7;0.17;4;2
281;2014-06-19;19:55;9;0.14;9;1
282;2014-10-23;23:02;11;0.11;2;2
283;2014-08-15;21:36;16;0.14;8;2
284;2014-07-26;22:19;14;0.15;3;1
285;2014-07-27;14:52;15;0.11;1;2
286;2014-06-11;15:50;11;0.07;2;1
287;2014-12-08;23:02;5;0.11;8;2
288;2015-01-19;14:09;2;0.15;3;1
289;2014-07-13;15:21;10;0.12;2;2
290;2014-02-01;20:52;11;0.14;9;1
291;2014-07-04;23:45;12;0.17;3;1
292;2014-02-10;18:43;14;0.14;3;1
293;2014-06-15;19:12;10;0.08;2;1
294;2014-09-10;22:48;3;0.13;7;1
295;2015-01-30;21:50;6;0.2;5;1
296;2014-09-27;21:36;6;0.2;5;1
297;2014-02-11;20:52;1;0.05;1;1
298;2014-04-19;18:28;5;0.16;6;1
299;2014-10-15;23:31;8;0.16;1;1
300;2014-10-14;23:31;8;0.13;1;1
301;2014-07-10;20:38;14;0.11;4;1
302;2014-09-13;18:00;12;0.05;1;1
303;2014-03-12;23:45;5;0.09;7;1
304;2014-03-07;23:16;1;0.12;7;2
305;2014-11-18;16:04;17;0.05;7;1
306;2014-06-12;21:07;16;0.1;4;2
307;2014-12-04;19:26;5;0.1;7;1
308;2014-08-24;14:52;5;0.06;3;1
309;2014-03-01;21:50;12;0.17;6;1
310;2014-09-16;0:00;15;0.16;8;2
311;2015-01-04;12:57;12;0.15;7;1
312;2014-04-04;23:02;10;0.17;3;1
313;2014-04-06;15:07;13;0.17;1;1
314;2014-09-11;21:21;9;0.1;2;2
315;2014-06-25;13:55;13;0.12;6;1
316;2014-03-05;22:04;6;0.09;3;1
317;2014-10-30;17:45;9;0.16;3;2
318;2014-04-04;21:36;15;0.14;2;2
319;2014-06-11;17:45;10;0.16;1;1
320;2014-02-21;0:00;16;0.11;1;2
321;2014-07-28;23:45;9;0.15;4;1
322;2014-12-17;22:19;1;0.12;4;1
323;2014-02-05;13:40;8;0.1;7;1
324;2014-03-15;18:43;3;0.16;2;1
325;2014-04-06;17:16;13;0.09;6;1
326;2014-05-02;18:57;1;0.12;1;1
327;2014-03-25;20:38;16;0.09;8;1
328;2015-01-05;14:09;8;0.08;3;1
329;2014-02-25;21:07;2;0.09;2;1
330;2014-08-15;18:57;4;0.15;4;2
331;2014-03-30;19:12;4;0.1;9;1
332;2014-03-21;22:19;11;0.17;1;1
333;2014-08-10;17:31;1;0.14;3;1
334;2014-10-25;20:52;8;0.2;5;1
335;2014-05-12;15:50;4;0.06;7;2
336;2014-06-03;13:12;2;0.1;2;1
337;2014-12-31;12:57;7;0.14;6;1
338;2014-11-10;19:40;15;0.13;8;1
339;2014-09-17;15:21;11;0.15;2;1
340;2014-11-23;18:43;17;0.1;4;1
341;2014-06-03;20:38;8;0.07;8;1
342;2014-02-23;17:31;12;0.1;1;2
343;2015-01-24;20:38;9;0.2;5;1
344;2014-07-06;20:52;8;0.06;4;1
345;2014-09-27;18:28;9;0.2;5;1
346;2014-08-05;22:19;13;0.15;1;1
347;2014-03-08;23:45;15;0.1;2;1
348;2014-10-08;16:19;2;0.06;4;1
349;2015-01-20;21:07;12;0.17;6;1
350;2014-11-21;20:09;8;0.11;7;1
351;2014-08-23;21:36;10;0.13;9;2
352;2015-01-22;22:48;11;0.12;2;1
353;2014-12-15;23:31;16;0.07;6;1
354;2014-10-29;14:24;15;0.08;8;2
355;2014-06-18;17:02;3;0.11;2;2
356;2014-09-30;23:45;7;0.1;8;1
357;2014-10-13;15:50;7;0.05;2;2
358;2014-04-14;21:50;15;0.16;3;2
359;2014-05-23;21:07;12;0.14;6;2
360;2014-04-01;17:45;6;0.15;7;2
361;2014-07-04;18:14;4;0.11;1;1
362;2014-07-19;17:16;1;0.15;8;1
363;2014-12-15;22:04;2;0.06;4;2
364;2015-01-25;19:26;15;0.16;9;1
365;2014-08-06;23:31;14;0.09;8;1
366;2014-02-13;16:04;11;0.17;3;1
367;2014-10-01;14:38;1;0.1;3;2
368;2015-01-12;14:38;17;0.09;6;1
369;2014-02-20;0:00;5;0.16;6;1
370;2014-11-24;23:31;17;0.14;4;2
371;2014-04-01;17:31;13;0.15;2;1
372;2014-07-01;22:33;16;0.12;7;1
373;2014-05-15;17:02;2;0.1;8;1
374;2014-03-21;16:19;9;0.12;3;1
375;2014-11-14;14:52;14;0.05;7;1
376;2014-07-12;19:12;3;0.08;1;1
377;2014-12-15;17:02;12;0.09;9;2
378;2014-03-17;14:24;9;0.17;2;1
379;2014-05-16;18:00;9;0.05;9;1
380;2014-12-13;16:04;5;0.06;4;1
381;2014-12-29;16:33;12;0.13;6;2
382;2014-11-01;16:19;1;0.13;7;1
383;2014-03-14;17:02;4;0.05;8;1
384;2014-11-30;0:00;5;0.13;6;1
385;2014-07-03;22:19;13;0.17;3;2
386;2014-09-11;16:19;5;0.17;6;2
387;2014-04-02;16:04;14;0.08;6;1
388;2014-12-31;16:19;15;0.13;8;1
389;2014-10-11;19:26;14;0.2;5;1
390;2014-06-18;13:40;10;0.07;8;1
391;2014-06-08;19:12;12;0.12;1;1
392;2014-08-29;19:12;17;0.05;9;1
393;2014-07-11;17:16;3;0.11;3;1
394;2014-07-16;22:19;4;0.1;4;1
395;2014-11-16;23:16;9;0.16;7;1
396;2015-01-31;16:04;15;0.07;1;2
397;2014-02-20;15:50;15;0.17;7;2
398;2014-03-14;21:36;16;0.17;4;1
399;2014-08-02;13:40;3;0.06;4;1
400;2014-08-13;20:09;13;0.15;6;2
401;2014-02-05;0:00;17;0.08;1;1
402;2014-04-18;17:02;17;0.09;7;1
403;2014-03-04;15:50;16;0.13;4;1
404;2015-01-30;23:45;16;0.2;5;1
405;2014-10-25;23:02;16;0.2;5;1
406;2014-07-01;18:00;9;0.14;4;1
407;2014-02-04;13:12;2;0.09;1;2
408;2014-08-02;13:40;3;0.14;8;1
409;2014-10-27;21:21;1;0.06;1;1
410;2014-05-31;21:07;13;0.13;3;1
411;2014-11-15;19:55;17;0.2;5;1
412;2014-02-09;23:45;10;0.07;2;2
413;2014-10-30;17:45;17;0.1;3;1
414;2014-08-11;14:52;17;0.14;7;1
415;2014-02-07;17:45;5;0.17;6;1
416;2015-01-26;13:40;5;0.14;8;1
417;2014-11-05;19:55;6;0.16;6;1
418;2014-06-06;22:19;1;0.15;4;2
419;2014-08-25;0:00;12;0.07;7;2
420;2014-10-07;20:09;15;0.14;9;1
421;2014-07-07;20:09;17;0.17;8;1
422;2014-04-09;19:26;12;0.13;3;1
423;2014-10-15;19:26;8;0.05;2;1
424;2014-08-14;20:09;6;0.06;1;2
425;2014-11-04;13:55;9;0.09;8;1
426;2015-01-08;12:57;11;0.11;6;1
427;2014-03-29;19:55;6;0.1;3;2
428;2014-05-18;21:07;2;0.16;8;1
429;2014-08-14;21:07;6;0.09;3;1
430;2014-02-13;15:21;10;0.05;7;1
431;2014-05-24;23:02;12;0.1;2;1
432;2014-05-13;18:00;4;0.1;7;1
433;2014-07-08;23:31;2;0.09;3;1
434;2015-01-24;14:38;13;0.06;3;1
435;2014-09-08;23:45;7;0.08;1;1
436;2014-11-27;20:24;10;0.12;9;2
437;2014-04-24;17:31;4;0.16;3;1
438;2014-09-11;22:33;12;0.11;4;1
439;2014-03-22;23:16;7;0.13;9;1
440;2014-08-15;15:36;2;0.16;2;2
441;2014-02-20;0:00;16;0.12;8;2
442;2014-03-15;18:28;16;0.15;1;1
443;2014-11-20;17:31;2;0.06;3;1
444;2014-07-10;18:57;4;0.13;2;2
445;2014-09-01;17:16;11;0.15;9;2
446;2014-09-06;19:40;15;0.2;5;1
447;2014-02-15;19:12;13;0.17;4;1
448;2014-11-11;23:16;17;0.09;3;1
449;2014-11-15;19:26;8;0.2;5;1
450;2014-12-19;18:00;8;0.08;7;1
451;2014-12-21;0:00;4;0.12;8;1
452;2014-10-09;23:02;9;0.1;9;1
453;2014-09-18;18:43;9;0.13;1;2
454;2014-03-31;19:26;2;0.16;1;1
455;2014-07-22;22:48;12;0.05;4;1
456;2014-05-21;23:31;7;0.12;7;1
457;2014-07-21;20:24;3;0.13;6;1
458;2014-12-21;23:02;15;0.1;8;1
459;2014-05-14;21:07;15;0.14;2;1
460;2014-12-28;20:24;14;0.11;4;1
461;2014-10-28;13:26;17;0.11;6;2
462;2014-04-28;20:09;4;0.15;3;1
463;2014-08-19;23:45;9;0.1;8;1
464;2014-04-14;18:28;13;0.09;3;1
465;2015-01-27;21:21;11;0.12;4;1
466;2014-12-01;13:12;1;0.13;9;1
467;2014-09-14;13:26;12;0.13;8;1
468;2014-04-09;23:45;5;0.16;7;2
469;2014-05-08;19:55;8;0.16;2;1
470;2014-09-20;16:04;12;0.08;7;1
471;2014-08-17;12:57;5;0.14;6;2
472;2014-11-19;15:21;2;0.09;9;1
473;2014-07-25;13:55;12;0.11;7;1
474;2014-03-13;14:38;12;0.15;6;1
475;2014-03-31;17:31;3;0.16;8;1
476;2014-03-18;18:43;14;0.1;1;1
477;2014-07-09;16:04;2;0.08;4;1
478;2014-10-26;18:57;9;0.12;9;1
479;2014-06-24;17:16;10;0.1;4;1
480;2014-05-20;19:40;4;0.05;6;1
481;2014-10-31;21:50;16;0.2;5;1
482;2014-04-10;23:31;12;0.13;3;1
483;2014-12-04;23:02;17;0.16;6;2
484;2014-03-01;23:16;17;0.11;8;1
485;2014-03-31;13:55;9;0.07;2;2
486;2014-05-03;18:57;11;0.08;4;1
487;2014-04-11;17:31;10;0.12;3;1
488;2014-11-26;16:33;14;0.06;3;1
489;2014-10-29;16:48;16;0.1;2;1
490;2014-08-31;22:19;3;0.05;3;1
491;2014-06-28;18:14;13;0.17;8;1
492;2014-07-31;16:33;13;0.14;1;2
493;2014-05-03;13:12;8;0.08;1;1
494;2014-04-27;19:12;9;0.16;1;1
495;2014-09-14;14:38;10;0.09;8;1
496;2014-11-15;19:55;17;0.2;5;1
497;2014-07-08;22:19;15;0.06;3;1
498;2014-12-20;22:04;7;0.2;5;1
499;2014-08-31;15:50;2;0.15;4;1
500;2014-02-21;18:00;12;0.08;7;1
501;2014-04-23;22:19;3;0.15;8;2
502;2014-02-17;16:33;7;0.11;9;2
503;2014-06-03;17:45;14;0.17;2;2
504;2014-04-28;14:24;12;0.08;3;2
505;2014-05-21;23:31;17;0.08;2;1
506;2014-08-03;14:52;1;0.05;8;1
507;2014-04-14;21:07;8;0.07;8;1
508;2014-02-15;14:09;1;0.16;8;1
509;2014-02-01;17:16;5;0.17;9;1
510;2014-08-29;21:21;15;0.1;3;1
511;2014-11-22;23:45;16;0.2;5;1
512;2014-11-10;17:02;15;0.05;8;1
513;2014-11-25;20:52;13;0.12;6;2
514;2014-07-06;23:31;9;0.06;2;1
515;2014-11-21;22:19;4;0.2;5;1
516;2014-08-31;12:57;10;0.14;6;2
517;2014-09-10;21:21;17;0.16;8;1
518;2014-03-14;21:21;4;0.14;6;1
519;2015-01-06;15:21;2;0.13;4;1
520;2014-05-14;16:48;8;0.05;1;1
521;2014-09-20;18:14;4;0.2;5;1
522;2014-10-28;16:19;5;0.17;3;2
523;2014-04-30;13:40;11;0.11;6;2
524;2015-01-17;20:09;2;0.2;5;1
525;2014-10-27;22:48;1;0.09;8;1
526;2015-01-01;21:50;16;0.07;3;2
527;2014-05-08;22:04;11;0.09;1;2
528;2014-11-25;21:07;1;0.05;9;1
529;2015-01-31;21:50;6;0.2;5;1
530;2014-12-10;22:33;7;0.05;8;2
531;2014-02-22;21:50;16;0.17;7;2
532;2014-12-28;13:12;7;0.11;7;1
533;2014-04-16;13:12;13;0.11;1;1
534;2014-09-04;19:12;10;0.15;2;1
535;2014-06-13;13:12;11;0.09;1;2
536;2014-10-18;22:19;11;0.2;5;1
537;2014-06-09;20:38;12;0.16;6;2
538;2014-12-14;14:09;11;0.15;6;1
539;2014-07-23;12:57;14;0.1;8;1
540;2014-04-16;18:00;15;0.06;8;1
541;2014-08-18;16:04;16;0.1;3;1
542;2014-09-13;20:09;5;0.2;5;1
543;2014-07-18;15:50;3;0.08;9;1
544;2014-02-20;22:33;4;0.08;6;2
545;2014-02-15;15:21;6;0.15;4;1
546;2014-03-19;21:50;10;0.06;3;1
547;2014-08-07;21:21;16;0.14;4;1
548;2014-05-21;14:24;10;0.08;9;1
549;2014-06-15;21:50;5;0.08;1;1
550;2014-05-09;23:02;14;0.08;9;1
551;2014-10-01;17:45;1;0.12;3;1
552;2014-08-08;22:48;2;0.15;6;1
553;2015-01-29;13:12;14;0.1;6;2
554;2014-04-23;23:02;10;0.05;7;2
555;2014-05-18;18:57;6;0.09;9;2
556;2014-11-12;19:12;14;0.07;3;2
557;2014-06-22;12:57;8;0.16;4;1
558;2014-05-07;13:55;17;0.05;7;1
559;2014-04-09;17:45;4;0.08;6;1
560;2014-09-24;19:12;11;0.16;6;2
561;2014-08-17;18:00;2;0.09;6;1
562;2014-02-02;17:45;4;0.13;1;1
563;2014-02-25;21:36;15;0.14;7;1
564;2014-07-14;19:12;16;0.15;1;1
565;2014-10-01;13:40;3;0.12;7;1
566;2014-11-04;15:21;3;0.14;2;2
567;2014-03-26;21:50;14;0.11;9;1
568;2014-12-03;16:48;11;0.15;7;2
569;2014-10-20;16:48;10;0.12;2;2
570;2014-12-06;18:43;17;0.2;5;1
571;2014-02-07;15:36;7;0.06;7;1
572;2014-07-30;18:14;17;0.11;8;1
573;2014-09-17;14:09;11;0.1;6;2
574;2014-03-10;21:21;4;0.14;4;2
575;2014-06-09;16:48;17;0.07;4;2
576;2014-08-27;18:14;10;0.16;9;1
577;2015-01-28;17:45;13;0.17;6;2
578;2014-04-01;14:09;5;0.09;6;2
579;2014-02-24;21:50;16;0.09;7;1
580;2014-08-31;22:48;6;0.08;1;1
581;2014-04-29;13:40;6;0.1;6;1
582;2014-06-27;22:48;8;0.13;6;1
583;2014-10-16;22:48;8;0.08;9;2
584;2015-01-08;18:14;17;0.07;4;2
585;2015-01-13;19:26;1;0.16;6;2
586;2014-04-20;19:26;11;0.06;9;1
587;2014-02-26;18:00;3;0.06;2;1
588;2014-09-19;18:43;3;0.2;5;1
589;2014-07-07;17:16;3;0.15;8;1
590;2014-12-28;13:55;7;0.17;9;1
591;2014-12-19;23:45;15;0.2;5;1
592;2014-07-21;17:45;10;0.15;3;1
593;2014-08-01;23:45;7;0.08;6;1
594;2014-03-22;15:50;8;0.11;7;2
595;2014-06-02;23:16;15;0.09;6;1
596;2014-10-02;22:19;11;0.07;1;1
597;2014-07-06;14:38;7;0.08;7;1
598;2014-12-18;17:31;16;0.05;4;1
599;2014-02-14;23:02;16;0.14;3;2
600;2014-05-25;16:33;8;0.1;4;2
601;2014-04-01;14:52;4;0.16;6;2
602;2014-11-01;21:07;3;0.2;5;1
603;2014-10-14;15:07;11;0.07;3;1
604;2014-12-27;0:00;13;0.2;5;1
